Genus,L1,S1,W1,feature_frequency
g__053A03-B-DI-P58,1.0,0.0,1.0,406.0
g__A4b,1.0,1.0,1.0,55.0
g__AB1,1.0,0.0,0.0,122.0
g__AEGEAN-169_marine_group,1.0,1.0,1.0,3515.0
g__AT-s3-44,1.0,1.0,1.0,7987.0
g__Acantharea_Group_I,0.0,0.0,1.0,824.0
g__Acanthopleuribacter,1.0,1.0,1.0,109.0
g__Acidaminococcus,0.0,0.0,1.0,10.0
g__Acidisoma,0.0,1.0,1.0,993.0
g__Acidovorax,0.0,1.0,1.0,5112.0
g__Acinetobacter,1.0,1.0,1.0,1535.0
g__Actinocyclus,0.0,1.0,0.0,1775.0
g__Aeromonas,1.0,1.0,1.0,1243.0
g__Agathobacter,1.0,1.0,1.0,2653.0
g__Akkermansia,1.0,1.0,1.0,23.0
g__Albirhodobacter,1.0,1.0,1.0,30.0
g__Alcanivorax,1.0,1.0,1.0,737.0
g__Algibacter,1.0,1.0,1.0,16845.0
g__Aliivibrio,0.0,0.0,1.0,44.0
g__Alistipes,1.0,1.0,1.0,545.0
g__Alkanindiges,0.0,1.0,0.0,90.0
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.0,0.0,0.0,18.0
g__Altererythrobacter,1.0,0.0,1.0,60.0
g__Alteromonas,1.0,1.0,1.0,2378.0
g__Aminicenantales,1.0,0.0,1.0,167.0
g__Amoebophrya,1.0,1.0,1.0,51406.0
g__Amylibacter,1.0,1.0,1.0,36922.0
g__Anaerocella,1.0,1.0,0.0,15.0
g__Anaerostipes,1.0,0.0,0.0,35.0
g__AncK6,1.0,0.0,1.0,10.0
g__Aquibacter,0.0,1.0,1.0,712.0
g__Aquicella,0.0,1.0,0.0,50.0
g__Aquisphaera,0.0,1.0,0.0,6.0
g__Arctic97B-4_marine_group,1.0,0.0,1.0,657.0
g__Arenibacter,1.0,0.0,0.0,21.0
g__Arenicella,1.0,1.0,1.0,4076.0
g__Armatimonas,1.0,1.0,0.0,95.0
g__Ascidiaceihabitans,1.0,1.0,1.0,27852.0
g__Aurantimonas,1.0,0.0,1.0,153.0
g__Aureispira,1.0,1.0,1.0,5327.0
g__Aureobasidium,1.0,1.0,1.0,4125.0
g__B2M28,1.0,0.0,0.0,280.0
g__BD1-7_clade,1.0,1.0,1.0,2875.0
g__BD2-11_terrestrial_group,1.0,1.0,1.0,6379.0
g__BD7-11,1.0,1.0,1.0,3465.0
g__BD7-8,1.0,1.0,1.0,3006.0
g__Bacteroides,1.0,1.0,1.0,6948.0
g__Bacteroidetes_BD2-2,1.0,0.0,0.0,27.0
g__Bacteroidetes_VC2.1_Bac22,1.0,1.0,1.0,875.0
g__Balneola,1.0,1.0,1.0,576.0
g__Barnesiella,0.0,1.0,0.0,40.0
g__Bathycoccus,1.0,1.0,1.0,24409.0
g__Betula,0.0,1.0,0.0,275.0
g__Bicosta,0.0,1.0,1.0,9626.0
g__Blastopirellula,1.0,1.0,1.0,35135.0
g__Blautia,1.0,1.0,1.0,166.0
g__Blfdi19,1.0,1.0,0.0,194.0
g__Bradymonadales,1.0,1.0,1.0,1439.0
g__Bradyrhizobium,0.0,1.0,0.0,64.0
g__Brevundimonas,1.0,0.0,1.0,58.0
g__Burkholderia-Caballeronia-Paraburkholderia,0.0,1.0,0.0,29.0
g__Butyricimonas,0.0,0.0,1.0,7.0
g__C1-B045,0.0,0.0,1.0,16.0
g__C39,0.0,0.0,1.0,21.0
g__CAG-352,1.0,0.0,0.0,16.0
g__CHAB-XI-27,0.0,0.0,1.0,170.0
g__CL500-3,1.0,1.0,1.0,11776.0
g__Caenarcaniphilales,1.0,0.0,1.0,77.0
g__Calanoida,1.0,1.0,1.0,76613.0
g__Calditrichaceae,0.0,1.0,0.0,8.0
g__Candidatus_Actinomarina,1.0,1.0,1.0,15733.0
