	sampleid	dim1	dim2	Size code	weekn	Time
0	BB22.10A	-0.12784661825502208	0.08762263082730762	W	10	Bloom
5	BB22.10AL	-0.12000820304192177	0.06030944649939013	L	10	Bloom
160	BB22.10AS	-0.013226560934869343	-0.08463638827706388	S	10	Bloom
447	BB22.10ASL	-0.034253208658255284	-0.08159844918512607	SL	10	Bloom
889	BB22.11A	-0.12678124057168366	0.08915207970280553	W	11	Post-bloom
892	BB22.11AL	-0.12457280989588879	0.06963861108173937	L	11	Post-bloom
1042	BB22.11AS	-0.01689565698221604	-0.09968311907998459	S	11	Post-bloom
1345	BB22.11ASL	-0.03447635004156837	-0.09551793471876201	SL	11	Post-bloom
1798	BB22.12A	-0.10214614202298433	-0.05530976608803016	W	12	Post-bloom
1980	BB22.12AL	-0.1452342471539612	0.05820641929940042	L	12	Post-bloom
2063	BB22.12AS	-0.028677363756567653	-0.09947328823136148	S	12	Post-bloom
2352	BB22.12ASL	-0.04079791059021222	-0.10176990900251433	SL	12	Post-bloom
2724	BB22.13A	-0.051790803936722	-0.06983972999165458	W	13	Post-bloom
3020	BB22.13AL	-0.07647422498620016	0.0677737143708108	L	13	Post-bloom
3242	BB22.13AS	0.004163033184223114	-0.10134075251808594	S	13	Post-bloom
3561	BB22.13ASL	-0.004045208147167577	-0.08101053696471028	SL	13	Post-bloom
4102	BB22.14A	-0.09751307309613706	-0.06148767384844099	W	14	Post-bloom
4296	BB22.14AL	-0.13781628081515987	0.06539992908265062	L	14	Post-bloom
4397	BB22.14AS	-0.0863795515194046	-0.06686122679293663	S	14	Post-bloom
4572	BB22.14ASL	-0.11379325593679286	-0.05896982935393681	SL	14	Post-bloom
4848	BB22.15A	-0.030126112160778283	-0.0723075687455463	W	15	Post-bloom
5159	BB22.15AL	-0.06182283853835437	0.11000154948672422	L	15	Post-bloom
5421	BB22.15AS	-0.008393007907035725	-0.09636714204150623	S	15	Post-bloom
5724	BB22.15ASL	-0.013420458964825086	-0.06952289439778907	SL	15	Post-bloom
6289	BB22.16A	-0.09016675030396487	-0.0702457487830873	W	16	Post-bloom
6491	BB22.16AL	-0.10594321488243896	0.06501036205252805	L	16	Post-bloom
6648	BB22.16AS	0.038076931703340415	-0.07300698538181771	S	16	Post-bloom
7012	BB22.16ASL	0.002627874927032118	-0.07080138146069809	SL	16	Post-bloom
7533	BB22.1A	0.19299583222414413	0.09226577959318688	W	1	Pre-bloom
8133	BB22.1AL	0.0987226465458049	0.1989366410141693	L	1	Pre-bloom
8679	BB22.1AS	0.18618736056331686	0.0697364699800336	S	1	Pre-bloom
9218	BB22.1ASL	0.17500120072819497	0.10373214414091356	SL	1	Pre-bloom
10303	BB22.2A	0.163210613929347	0.0720986658054616	W	2	Pre-bloom
10842	BB22.2AL	-0.005705141103757942	0.12771462100343278	L	2	Pre-bloom
11130	BB22.2AS	0.1949836011789121	0.05887507695719058	S	2	Pre-bloom
11652	BB22.2ASL	0.17744548069250626	0.06484764456082268	SL	2	Pre-bloom
12462	BB22.3A	0.07450498706885537	-0.0189278392281392	W	3	Pre-bloom
12794	BB22.3AL	-0.1291094388185396	0.07908313163511628	L	3	Pre-bloom
12859	BB22.3AS	0.10813803733273283	-0.0307205444477561	S	3	Pre-bloom
13223	BB22.3ASL	0.08901192727048615	-0.03506410497338058	SL	3	Pre-bloom
13652	BB22.4A	0.15934962431508787	0.016806693083937358	W	4	Pre-bloom
14168	BB22.4AL	-0.12060664055723991	0.08496220192678619	L	4	Pre-bloom
14236	BB22.4AS	0.18989756601416155	0.006524099525718011	S	4	Pre-bloom
14748	BB22.4ASL	0.16098865835460477	-0.005683609658791285	SL	4	Pre-bloom
15328	BB22.5A	-0.00859676154648434	-0.005368651103114759	W	5	Pre-bloom
15596	BB22.5AL	-0.04682711814532876	0.11499593518170168	L	5	Pre-bloom
15855	BB22.5AS	0.09720801225832428	-0.0074898110776964654	S	5	Pre-bloom
16282	BB22.5ASL	0.08239553638239044	0.004561868543803984	SL	5	Pre-bloom
16968	BB22.6A	0.1481219956465847	-0.006822716561876861	W	6	Pre-bloom
17520	BB22.6AL	-0.059627105447779535	0.08976662669276178	L	6	Pre-bloom
17769	BB22.6AS	0.08943840269078865	-0.054439719609012255	S	6	Pre-bloom
18152	BB22.6ASL	0.07410412217234859	-0.039462618708120796	SL	6	Pre-bloom
18784	BB22.7A	0.06781521527249937	-0.0445661199005722	W	7	Pre-bloom
19181	BB22.7AL	-0.08947144611084559	0.07638293546584408	L	7	Pre-bloom
19367	BB22.7AS	0.07818715721878067	-0.05323584879398726	S	7	Pre-bloom
19740	BB22.7ASL	0.05609304154542058	-0.04956966534984137	SL	7	Pre-bloom
20299	BB22.8A	-0.030768981094365502	-0.059681479420947474	W	8	Pre-bloom
20521	BB22.8AL	-0.14006054761721176	0.07763767226450648	L	8	Pre-bloom
20567	BB22.8AS	0.028105127984567293	-0.07328271789071117	S	8	Pre-bloom
20876	BB22.8ASL	0.00954409350551268	-0.07745525682764154	SL	8	Pre-bloom
21231	BB22.9A	-0.08199670879579027	-0.027638509557599666	W	9	Pre-bloom
21391	BB22.9AL	-0.08196003674859438	0.1037020219115417	L	9	Pre-bloom
21604	BB22.9AS	-0.07986568172548622	-0.027606993584958342	S	9	Pre-bloom
21755	BB22.9ASL	-0.07912137989841217	0.01102155986691304	SL	9	Pre-bloom
