,W_col,pairs ,Df ,SumsOfSqs ,   F.Model ,R2,p.value ,p.adjusted ,sig,comm,,,,,,,,,
1,Whole ,Large ,1,19728.590,5.9668618,0.16589887,0.001,0.0020,  *,16S,,,,,,,,,
1,Whole ,Small ,1,5483.913,1.3949711,0.04443295,0.143,0.2145,   ,16S,,,,,,,,,
1, Whole, DeFr ,1,4129.818,1.0418168,0.03356172,0.323,0.3876,   ,16S,,,,,,,,,
5,Whole ,Large ,1,20727.160,6.6805540,0.18212795,0.001,0.0020,  *,16S,,,,,,,,,
5,Whole ,Small ,1,6783.652,1.7514611,0.05516159,0.049,0.0735,   ,16S,,,,,,,,,
5, Whole, DeFr ,1,5199.932,1.3434464,0.04286212,0.136,0.1632,   ,16S,,,,,,,,,
10,Whole ,Large ,1,20648.129,5.8686148,0.16361420,0.001,0.0020,  *,16S,,,,,,,,,
10,Whole ,Small ,1,11816.835,2.9295667,0.08896463,0.004,0.0060,  *,16S,,,,,,,,,
10, Whole, DeFr ,1,9742.330,2.3620064,0.07298702,0.009,0.0108,  .,16S,,,,,,,,,
30,Whole ,Large  ,1,32177.448,11.4113542,0.28954484,0.001,0.002,*,16S,,,,,,,,,
30,Whole ,Small  ,1,5300.247,1.3690874,0.04661661,0.130,0.195, ,16S,,,,,,,,,
30, Whole, DeFr  ,1,3703.347,0.9870340,0.03405088,0.420,0.504, ,16S,,,,,,,,,
60,Whole ,Large  ,1,23554.310,6.2601004,0.17264432,0.001,0.0020,*,16S,,,,,,,,,
60,Whole ,Small  ,1,5556.685,1.2352891,0.03954787,0.206,0.3090, ,16S,,,,,,,,,
60, Whole, DeFr  ,1,4490.674,0.9864346,0.03183440,0.307,0.3684, ,16S,,,,,,,,,
1,Whole ,Small ,1,102.2932,0.7121674,0.02569872,0.781,0.9372,   ,18S,,,,,,,,,
1,Whole , DeFr ,1,108.0104,0.6102129,0.02210098,0.944,0.9440,   ,18S,,,,,,,,,
1,Whole ,Large ,1,255.4765,1.3846020,0.04878004,0.113,0.3390,   ,18S,,,,,,,,,
5,Whole  , DeFr ,1,107.4158,0.5376326,0.01883943,0.991,0.9910," ",18S,,,,,,,,,
5,Whole  ,Small ,1,205.3545,1.1354027,0.03896987,0.251,0.3765, ,18S,,,,,,,,,
5,Whole  ,Large ,1,232.5985,1.2278464,0.04200947,0.173,0.3460, ,18S,,,,,,,,,
10,Whole ,Large  ,1,473.7793,1.9296843,0.06238939,0.024,0.0720, ,18S,,,,,,,,,
10,Whole ,Small  ,1,310.7219,1.5803161,0.05167756,0.050,0.1000, ,18S,,,,,,,,,
10, Whole, DeFr  ,1,273.3405,1.1440822,0.03795379,0.242,0.2904, ,18S,,,,,,,,,
30,Whole ,Large  ,1,296.4289,1.4846152,0.05035220,0.032,0.0960, ,18S,,,,,,,,,
30,Whole ,Small  ,1,219.7436,1.1474350,0.03936659,0.190,0.2850, ,18S,,,,,,,,,
30, Whole, DeFr  ,1,202.1512,0.9560190,0.03301624,0.492,0.5904, ,18S,,,,,,,,,
60,Whole ,Large  ,1,241.0867,1.2946934,0.04419549,0.122,0.244, ,18S,,,,,,,,,
60,Whole ,Small  ,1,232.7815,1.5733494,0.05320160,0.032,0.096, ,18S,,,,,,,,,
60, Whole, DeFr  ,1,161.8024,0.9106454,0.03044553,0.565,0.671, ,18S,,,,,,,,,
