Class,L1,S1,W1,feature_frequency
Unassigned,1.0,1.0,1.0,2568.0
c__Annelida,1.0,0.0,0.0,8.0
c__Bacillariophyceae,1.0,1.0,1.0,163.0
c__Bicosoecida,0.0,1.0,0.0,15.0
c__Bivalvia,1.0,0.0,0.0,12.0
c__Choanoflagellida,1.0,1.0,1.0,145.0
c__Chrysophyceae,1.0,1.0,1.0,234.0
c__Conoidasida,1.0,0.0,0.0,2.0
c__Cryptophyceae,1.0,1.0,1.0,2895.0
c__Dictyochophyceae,1.0,1.0,1.0,72.0
c__Dinophyceae,1.0,1.0,1.0,11509.0
c__Embryophyta,0.0,1.0,1.0,154.0
c__Eurotiomycetes,0.0,1.0,0.0,94.0
c__Hydrozoa,1.0,0.0,0.0,3117.0
c__Imbricatea,1.0,0.0,0.0,91.0
c__Incertae_Sedis,1.0,1.0,1.0,455.0
c__Insecta,1.0,1.0,1.0,317.0
c__Intramacronucleata,1.0,1.0,1.0,5239.0
c__Kathablepharidae,1.0,0.0,0.0,81.0
c__MAST-12A,0.0,0.0,1.0,25.0
c__MAST-1A,1.0,1.0,1.0,877.0
c__MAST-1B,1.0,1.0,1.0,292.0
c__MAST-1C,1.0,1.0,1.0,143.0
c__MAST-2,1.0,1.0,1.0,134.0
c__MAST-3B,1.0,0.0,0.0,5.0
c__MAST-3E,0.0,0.0,1.0,16.0
c__MAST-4,0.0,1.0,0.0,133.0
c__MAST-6,1.0,0.0,0.0,59.0
c__MAST-7A,0.0,1.0,1.0,272.0
c__MAST-7B,0.0,0.0,1.0,15.0
c__Mamiellophyceae,0.0,1.0,1.0,1327.0
c__Maxillopoda,1.0,1.0,1.0,3923.0
c__Mediophyceae,1.0,1.0,1.0,1768.0
c__Monogononta,1.0,0.0,0.0,68.0
c__Novel_Clade_2,1.0,0.0,0.0,75.0
c__Ochrophyta,0.0,1.0,0.0,14.0
c__Picomonadida,1.0,0.0,1.0,36.0
c__Picozoa,0.0,0.0,1.0,29.0
c__Polychaeta,1.0,0.0,0.0,291.0
c__Prymnesiophyceae,1.0,1.0,1.0,1364.0
c__Pucciniomycetes,0.0,1.0,1.0,313.0
c__Syndiniales,1.0,1.0,1.0,2758.0
c__Tentaculata,1.0,0.0,0.0,418.0
c__Thecofilosea,1.0,1.0,1.0,690.0
c__Tremellomycetes,0.0,0.0,1.0,67.0
c__uncultured,1.0,0.0,0.0,102.0
