Phylum,L60,S60,W60,feature_frequency
Unassigned,1.0,0.0,1.0,1768.0
p__Annelida,1.0,1.0,1.0,299.0
p__Arthropoda,1.0,1.0,1.0,4240.0
p__Ascomycota,1.0,1.0,1.0,509.0
p__Basidiomycota,0.0,1.0,0.0,383.0
p__Bicosoecida,1.0,1.0,1.0,49.0
p__Cercozoa,1.0,1.0,1.0,930.0
p__Chlorophyta,0.0,1.0,1.0,1348.0
p__Ciliophora,1.0,1.0,1.0,5236.0
p__Cnidaria,1.0,0.0,1.0,3117.0
p__Cryptophyceae,1.0,1.0,0.0,2895.0
p__Diatomea,1.0,1.0,1.0,1949.0
p__Dinoflagellata,1.0,1.0,1.0,11756.0
p__Holozoa,1.0,1.0,1.0,259.0
p__Incertae_Sedis,1.0,1.0,1.0,381.0
p__Kathablepharidae,1.0,0.0,0.0,81.0
p__Labyrinthulomycetes,1.0,1.0,1.0,12.0
p__MAST-1,1.0,1.0,1.0,1312.0
p__MAST-12,1.0,0.0,0.0,34.0
p__MAST-2,1.0,0.0,0.0,134.0
p__MAST-3,0.0,0.0,1.0,35.0
p__MAST-4,1.0,1.0,1.0,133.0
p__MAST-7,0.0,1.0,1.0,287.0
p__Ochrophyta,1.0,1.0,1.0,343.0
p__Phragmoplastophyta,0.0,0.0,1.0,154.0
p__Picozoa,1.0,1.0,1.0,273.0
p__Protalveolata,1.0,1.0,1.0,2756.0
p__Proteobacteria,1.0,0.0,0.0,2.0
p__Protosporangiida,1.0,1.0,1.0,44.0
p__Prymnesiophyceae,1.0,1.0,1.0,1398.0
p__Retaria,0.0,1.0,0.0,8.0
p__Rotifera,1.0,0.0,0.0,68.0
