Class,L30,S30,W30,feature_frequency
Unassigned,1.0,1.0,1.0,1194.0
c__4-29,0.0,1.0,0.0,3.0
c__Abditibacteria,1.0,0.0,0.0,8.0
c__Acidimicrobiia,1.0,1.0,1.0,27197.0
c__Actinobacteria,1.0,1.0,1.0,7327.0
c__Alphaproteobacteria,1.0,1.0,1.0,1083456.0
c__Aminicenantia,0.0,0.0,1.0,120.0
c__Anaerolineae,1.0,0.0,1.0,151.0
c__AncK6,0.0,1.0,1.0,10.0
c__BD2-11_terrestrial_group,1.0,1.0,1.0,7173.0
c__BD7-11,1.0,1.0,1.0,4277.0
c__Babeliae,0.0,1.0,1.0,220.0
c__Bacilli,1.0,1.0,1.0,1251.0
c__Bacteroidia,1.0,1.0,1.0,1637412.0
c__Bathyarchaeia,1.0,0.0,0.0,8.0
c__Bdellovibrionia,1.0,1.0,1.0,28484.0
c__Blastocatellia,1.0,1.0,0.0,22.0
c__Calditrichia,1.0,0.0,1.0,34.0
c__Campylobacteria,1.0,1.0,1.0,309.0
c__Cloacimonadia,0.0,0.0,1.0,899.0
c__Clostridia,1.0,1.0,1.0,6238.0
c__Dadabacteriia,1.0,1.0,1.0,3990.0
c__Dehalococcoidia,1.0,1.0,1.0,3066.0
c__Desulfitobacteriia,0.0,0.0,1.0,4.0
c__Desulfobacteria,1.0,1.0,1.0,1330.0
c__Desulfobulbia,1.0,1.0,1.0,1003.0
c__Desulfovibrionia,0.0,0.0,1.0,75.0
c__Desulfuromonadia,1.0,1.0,1.0,3296.0
c__Fermentibacteria,0.0,1.0,1.0,41.0
c__Fibrobacteria,0.0,1.0,1.0,1187.0
c__Fusobacteriia,1.0,1.0,1.0,3329.0
c__Gammaproteobacteria,1.0,1.0,1.0,1121063.0
c__Gracilibacteria,0.0,1.0,0.0,6.0
c__Holophagae,1.0,0.0,1.0,137.0
c__Hydrogenedentia,1.0,1.0,1.0,1759.0
c__Ignavibacteria,1.0,0.0,1.0,72.0
c__JG30-KF-CM66,0.0,1.0,1.0,54.0
c__JS1,1.0,0.0,0.0,18.0
c__Kapabacteria,1.0,1.0,0.0,53.0
c__Kiritimatiellae,1.0,1.0,1.0,365.0
c__Kryptonia,0.0,1.0,0.0,13.0
c__LCP-89,1.0,1.0,1.0,103.0
c__Latescibacteria,1.0,0.0,0.0,23.0
c__Latescibacterota,1.0,1.0,1.0,500.0
c__Lentisphaeria,0.0,1.0,1.0,234.0
c__Lineage_IIb,0.0,1.0,0.0,8.0
c__Lokiarchaeia,0.0,0.0,1.0,2.0
c__Margulisbacteria,0.0,1.0,1.0,267.0
c__Marinimicrobia_(SAR406_clade),1.0,1.0,1.0,34150.0
c__Myxococcia,0.0,1.0,1.0,954.0
c__NB1-j,1.0,1.0,1.0,8948.0
c__Nanoarchaeia,1.0,1.0,1.0,1133.0
c__Negativicutes,1.0,1.0,1.0,615.0
c__Nitrososphaeria,1.0,1.0,1.0,241964.0
c__Nitrospinia,1.0,1.0,1.0,160608.0
c__Nitrospiria,1.0,1.0,1.0,12.0
c__OM190,1.0,1.0,1.0,234495.0
c__Oligoflexia,1.0,1.0,1.0,1645.0
c__Omnitrophia,1.0,1.0,1.0,657.0
c__PAUC34f,0.0,1.0,1.0,2010.0
c__Phycisphaerae,1.0,1.0,1.0,14393.0
c__Pla3_lineage,0.0,0.0,1.0,37.0
c__Pla4_lineage,1.0,0.0,1.0,31.0
c__Planctomycetes,1.0,1.0,1.0,152421.0
c__Polyangia,1.0,1.0,1.0,215.0
c__Rhodothermia,1.0,1.0,1.0,1207.0
c__SAR324_clade(Marine_group_B),1.0,1.0,1.0,32980.0
c__SPG12-343-353-B69,0.0,1.0,0.0,2.0
c__Saccharimonadia,0.0,1.0,0.0,384.0
c__Spirochaetia,1.0,1.0,1.0,535.0
c__Subgroup_22,1.0,0.0,1.0,79.0
c__Subgroup_25,0.0,0.0,1.0,2.0
c__Subgroup_5,0.0,0.0,1.0,9.0
c__Sumerlaeia,1.0,1.0,0.0,14.0
c__Sva0485,0.0,0.0,1.0,17.0
c__Synergistia,1.0,1.0,0.0,124.0
c__Syntrophia,1.0,0.0,0.0,47.0
c__Thermoanaerobaculia,1.0,1.0,1.0,236.0
c__Thermoplasmata,1.0,1.0,1.0,50822.0
c__Verrucomicrobiae,1.0,1.0,1.0,36402.0
c__Vicinamibacteria,1.0,0.0,1.0,247.0
c__WPS-2,0.0,1.0,1.0,561.0
c__WS1,1.0,0.0,0.0,2.0
c__Zetaproteobacteria,1.0,1.0,1.0,3779.0
c__uncultured,1.0,1.0,1.0,159.0
c__vadinHA49,1.0,1.0,0.0,62.0
