Genus,L60,S60,W60,feature_frequency
Unassigned,1.0,1.0,1.0,136363.0
g__028H05-P-BN-P5,1.0,0.0,0.0,3.0
g__0319-6G20,1.0,1.0,1.0,45.0
g__053A03-B-DI-P58,1.0,1.0,1.0,566.0
g__37-13,0.0,1.0,0.0,35.0
g__A4b,1.0,0.0,0.0,47.0
g__AB1,1.0,1.0,1.0,168.0
g__AEGEAN-169_marine_group,1.0,1.0,1.0,2764.0
g__AKAU3564_sediment_group,1.0,1.0,1.0,71.0
g__AT-s3-44,1.0,1.0,1.0,13724.0
g__Acanthopleuribacter,1.0,1.0,1.0,111.0
g__Acidaminococcus,1.0,1.0,0.0,21.0
g__Acidibacter,1.0,1.0,0.0,67.0
g__Acidisoma,1.0,1.0,1.0,3632.0
g__Acidovorax,1.0,1.0,1.0,4427.0
g__Acinetobacter,1.0,1.0,0.0,1994.0
g__Aeromicrobium,0.0,1.0,0.0,6.0
g__Aeromonas,0.0,1.0,1.0,781.0
g__Agathobacter,0.0,1.0,1.0,1372.0
g__Albirhodobacter,0.0,1.0,1.0,116.0
g__Alcanivorax,1.0,1.0,1.0,715.0
g__Algibacter,1.0,1.0,1.0,15190.0
g__Algivirga,0.0,1.0,0.0,2.0
g__Aliikangiella,1.0,1.0,0.0,9.0
g__Aliivibrio,0.0,1.0,1.0,31.0
g__Alistipes,0.0,1.0,1.0,427.0
g__Alloprevotella,1.0,0.0,0.0,26.0
g__Altererythrobacter,1.0,1.0,1.0,72.0
g__Alteromonadaceae,1.0,0.0,0.0,5.0
g__Alteromonas,1.0,1.0,1.0,5331.0
g__Aminicenantales,1.0,1.0,1.0,120.0
g__Amphritea,1.0,0.0,0.0,15.0
g__Amylibacter,1.0,1.0,1.0,102298.0
g__Anaerocella,1.0,0.0,0.0,23.0
g__Aquibacter,1.0,0.0,1.0,1917.0
g__Aquicella,1.0,0.0,1.0,234.0
g__Arcobacter,0.0,1.0,0.0,85.0
g__Arctic95B-14,1.0,0.0,0.0,2.0
g__Arctic97B-4_marine_group,1.0,1.0,1.0,589.0
