Phylum,L60,S60,W60,feature_frequency
Unassigned,1.0,1.0,1.0,1110.0
p__Acidobacteriota,1.0,1.0,1.0,1127.0
p__Actinobacteriota,1.0,1.0,1.0,34548.0
p__Aenigmarchaeota,0.0,1.0,0.0,4.0
p__Altiarchaeota,1.0,0.0,1.0,6.0
p__Bacteroidota,1.0,1.0,1.0,1638759.0
p__Bdellovibrionota,1.0,1.0,1.0,30129.0
p__Calditrichota,1.0,0.0,1.0,34.0
p__Campilobacterota,1.0,1.0,1.0,309.0
p__Chloroflexi,1.0,1.0,1.0,3282.0
p__Cloacimonadota,1.0,1.0,1.0,899.0
p__Crenarchaeota,1.0,1.0,1.0,241972.0
p__Dadabacteria,1.0,1.0,1.0,3990.0
p__Deinococcota,1.0,1.0,1.0,19.0
p__Dependentiae,1.0,1.0,1.0,220.0
p__Desulfobacterota,1.0,1.0,1.0,5917.0
p__Elusimicrobiota,1.0,1.0,0.0,78.0
p__FCPU426,0.0,1.0,0.0,13.0
p__Fermentibacterota,1.0,1.0,1.0,41.0
p__Fibrobacterota,1.0,1.0,1.0,1187.0
p__Firmicutes,1.0,1.0,1.0,8110.0
p__Fusobacteriota,1.0,1.0,1.0,3329.0
p__Gemmatimonadota,1.0,1.0,1.0,7204.0
p__Hydrogenedentes,1.0,1.0,1.0,1759.0
p__LCP-89,1.0,1.0,1.0,103.0
p__Latescibacterota,1.0,1.0,1.0,525.0
p__Margulisbacteria,1.0,1.0,1.0,267.0
p__Marinimicrobia_(SAR406_clade),1.0,1.0,1.0,34150.0
p__Myxococcota,1.0,1.0,1.0,1169.0
p__NB1-j,1.0,1.0,1.0,8948.0
p__NKB15,0.0,1.0,1.0,14.0
p__Nanoarchaeota,1.0,1.0,1.0,1133.0
p__Nitrospinota,1.0,1.0,1.0,160608.0
p__Nitrospirota,0.0,1.0,1.0,23.0
p__PAUC34f,1.0,1.0,1.0,2010.0
p__Patescibacteria,1.0,1.0,1.0,418.0
p__Planctomycetota,1.0,1.0,1.0,405762.0
p__Proteobacteria,1.0,1.0,1.0,2208333.0
p__SAR324_clade(Marine_group_B),1.0,1.0,1.0,32980.0
p__Spirochaetota,1.0,1.0,1.0,653.0
p__Sva0485,1.0,1.0,1.0,17.0
p__Thermoplasmatota,1.0,1.0,1.0,50822.0
p__Verrucomicrobiota,1.0,1.0,1.0,37665.0
p__WPS-2,1.0,1.0,1.0,561.0
p__Zixibacteria,1.0,0.0,1.0,15.0
