feature_id,L30,S30,W30,feature_frequency
000527117f05c819fdf7268c540a4a3b,0.0,0.0,1.0,2.0
0089c2ee62e4e072faf4a080fc7ae6e5,1.0,1.0,1.0,2824.0
008d11c0689fd62d7a19f9e1fbb54268,0.0,1.0,1.0,137.0
00ac48d3363604a1a37bdb33389a57a3,0.0,0.0,1.0,2.0
00e047a89c3cc1d2d459545ac75f18ed,0.0,1.0,1.0,248.0
00f2a771e4a04d01f8d178357421ece7,0.0,1.0,1.0,1423.0
012054e3f62502aff7f455e1592ea87f,1.0,1.0,1.0,12836.0
01505c85c3b1503d5dc558c08dc55f0f,1.0,1.0,1.0,1488.0
015600cdcdfdc7333d251c9c9160eb72,0.0,0.0,1.0,383.0
01770ea2fb7f041c787e5a481888c27e,1.0,1.0,1.0,878.0
0184b0e8cdfb040dfd7e1d74c2cdc76e,0.0,1.0,0.0,29.0
01874a5f6a88aa5196a4c6d1db4d910d,0.0,1.0,1.0,2633.0
01b6055d816dfa26f1049780d85de084,0.0,1.0,1.0,3342.0
01cc2516697cf1b59d3bdcdc881c233e,0.0,1.0,0.0,14.0
01eb34d864b5b8a54eb4fa9bac9a92ed,0.0,1.0,0.0,45.0
01eb892495890df5ed35ff5ece71bfce,1.0,1.0,1.0,1111.0
021829170463632e041095dab11c0e95,0.0,0.0,1.0,95.0
022d17b1bc18eff00ea76ceaeeab7732,1.0,0.0,0.0,3.0
023afc3a991fd3d034caa37683e1b7c0,0.0,1.0,1.0,173.0
028268ab77aff8e24e2d0935cbd0ad10,1.0,1.0,1.0,4096.0
0293e7dd77aa94e17e4d7d07cf8a2049,0.0,1.0,1.0,1617.0
02a866ccb1a98e57168e1b363ce2110d,0.0,0.0,1.0,106.0
02b7af11150741f6de128690c4aa3340,1.0,0.0,1.0,112.0
02f958a986eaec38e427007101c2a413,1.0,1.0,1.0,40.0
030056fbfcc7a9cacf6f4807bfc230a4,0.0,0.0,1.0,7.0
03505da0f61629ac8b9a4edcc340e1ac,1.0,0.0,0.0,4.0
035edd998d7864250c983102de197a9d,0.0,1.0,1.0,2391.0
0390fa37f8aad12444ad2f6ec3adb390,0.0,0.0,1.0,3.0
03f391af11244396b4118d862f31e5ee,1.0,1.0,1.0,88.0
03f9b4536cfa51fc6adddc65b22bbfc8,0.0,1.0,1.0,2723.0
0434da6ac8b0cb6c7d0844ecf576cbee,0.0,1.0,1.0,176.0
04500f7067819de82ee853a1e70232c0,0.0,1.0,0.0,6.0
045fc124b9d1cbb8ab61ec1b49c3eb7d,0.0,1.0,1.0,1897.0
0478651909e5e7ac7a88b6ec083cd991,1.0,0.0,0.0,2.0
047bc5d9acd6864d3e7cbaf477d546ff,1.0,1.0,1.0,18242.0
04d27997033e89bbce33f2228310f106,1.0,0.0,0.0,2.0
04ee9fe99860da57144ba42fa26c8e70,0.0,1.0,1.0,358.0
04f5c18fd5bd6486b3afa7374a05da41,1.0,0.0,1.0,2300.0
052d9304c679ca73a78263aff903034a,1.0,0.0,0.0,385.0
053a38a4ce51cada6ad4a1511d070477,1.0,0.0,0.0,48.0
053f40d192f088eb3991dc116e53cf5e,0.0,1.0,1.0,39.0
05404c9fdf9f3f334eb618bac3f434f6,0.0,1.0,0.0,58.0
05d7c8d4ebaca0bf84040ba73a60e2bf,0.0,0.0,1.0,40.0
05e5ff38dcfb12fdfcdec776e9ab59fd,0.0,1.0,0.0,5.0
06105df60508c2ed24a54f1b8ed64e49,1.0,0.0,1.0,214.0
065f718c0519522661f2d3b088f3bdee,1.0,1.0,1.0,22224.0
069642b95bc48bf1ac0eeb952f396c61,1.0,0.0,0.0,3.0
06a02c8a852b27651ddef23c4174e201,1.0,1.0,1.0,26662.0
0715cc5c40300391136364f45c74dcfd,1.0,0.0,0.0,10.0
073264e8c93a3016c046da55cb5108da,1.0,1.0,1.0,917.0
0739f02862c04e4e7c0d1847458e3760,0.0,1.0,0.0,5.0
07589dbe9acdae9326e0b0451b01c752,0.0,0.0,1.0,4.0
075ae4ee7637c8107e88a0666b26c307,0.0,1.0,0.0,245.0
07684c39e9745c2660134a8a1eacfa03,0.0,1.0,0.0,29.0
0780c22c545ff02f8993b1837b08b3c5,0.0,1.0,0.0,4.0
07855a1c9eeb18068732835c1451049e,0.0,1.0,1.0,710.0
07aaa77ecf15feb1425c3214f44f3695,0.0,1.0,1.0,611.0
07b3e9a2b41a69ca2a072a574b97c397,0.0,0.0,1.0,2.0
