feature_id,L1,S1,W1,feature_frequency
01e3a10453a0f7cc6f327b8091090c58,1.0,1.0,1.0,154361.0
01efd728f0f0eafcff2ed38ab8e7afde,0.0,0.0,1.0,222.0
020446c8e46fe4351944e92c06ec5144,1.0,1.0,1.0,15135.0
02598367c3084826db395f6a326aa50f,1.0,1.0,1.0,3323.0
02c314f95ad067223b498b74861d0e26,1.0,1.0,1.0,6125.0
03e4bf667f0fcbb99b0563157ace1d8e,1.0,1.0,1.0,1346.0
03e5d328c5e08ec2162cd31d247e0a0f,1.0,0.0,0.0,2.0
07c746bc83ad0a05fcdcfcc201cd246c,1.0,0.0,0.0,7.0
08f35b16b6bd95845bea35d918f913fb,0.0,1.0,0.0,120.0
09bc82575473641d338c12424ab5e9ea,1.0,0.0,1.0,1073.0
0acf28aadbe3f255d579fd335fe9a9eb,0.0,1.0,0.0,3.0
0b06e0e9193576fb2161a95b0a4d35bc,0.0,0.0,1.0,3.0
0c3bac85715c2ab5b3f4c01881456b5b,1.0,0.0,1.0,120.0
0d2bff3b6e10736ac7590accbcfbde58,1.0,0.0,0.0,2.0
0e5b87295db5b7c7bd6cbcea9bc6af60,1.0,0.0,0.0,35.0
0f4d4b9f5303846933f191a6f7a337d9,1.0,0.0,0.0,86.0
0f7c25d6a86e402622d6c808fc354dee,1.0,0.0,0.0,4.0
1053ffd66e4b89fdf0b35e548696808a,1.0,0.0,0.0,3.0
11254cea51c1389ddabe05661e40c231,0.0,1.0,1.0,605.0
11ba4574149015364773549d1540fbd7,1.0,1.0,1.0,232.0
14c246c76b0ded42d87c794bad2606bb,1.0,0.0,0.0,13.0
1c2d20835246ea7446b0a8e4e3456c04,1.0,0.0,1.0,566.0
1e7d3a6dba567b1bcc4e6ceac17cec6d,1.0,1.0,1.0,18108.0
1f5f6c986b8cca05d92f6718a51239bf,1.0,0.0,1.0,57.0
1fc4e7989e1ddd3a76e9cdccbcd2ccb9,1.0,0.0,1.0,889.0
2178818975d381987d324cb691ae280c,0.0,0.0,1.0,2.0
21dc6869807c2580b6de6eac1c768b5a,0.0,1.0,0.0,2.0
232219084f234c1b31d90324e6d1832f,1.0,0.0,1.0,4940.0
27a962c4f798f8bb2c7241ed101754a5,1.0,1.0,0.0,5.0
27d1c50423641b47883d0f917402f7b6,0.0,1.0,0.0,93.0
2981aa9f69bc423dc502b2e178dc7904,1.0,1.0,1.0,44859.0
29c56126770baf791a87e202c5502a53,1.0,0.0,1.0,19.0
2a5a2600abd41b57d4ac437643b955c6,1.0,0.0,0.0,313.0
2a8e413806955fee51ae29e4bab2178b,1.0,0.0,0.0,14.0
2bcef39c7182e44f7b9a35e5522dfd45,1.0,0.0,0.0,110.0
2c9b54f1bcc91cf1961744d4ee4f1995,0.0,1.0,1.0,386.0
2db4a0f9aa44720683183be34b071c3f,1.0,1.0,0.0,937.0
31b2e280ab0a74626ddd3e3111845dd7,0.0,1.0,0.0,43.0
334feb949bba92d67ce2d15e5517f30d,1.0,1.0,1.0,21971.0
3386fc614392527c573b8197597e4b2f,1.0,1.0,1.0,327.0
347c47daabbc6630d1605dd81aa134e4,0.0,1.0,1.0,130.0
34a72c2a90b70518223378c75e11c9b4,0.0,0.0,1.0,5.0
352da949fea628d994cfa85942d0fd95,1.0,1.0,1.0,20760.0
360454b5808ac24ba7e9b839669b4505,0.0,1.0,1.0,962.0
36c2be8689db983aa92e5d208980376f,1.0,0.0,0.0,162.0
37b0014d3917f6035c93fc39db0cdaae,1.0,1.0,1.0,4498.0
3923347a777ad78d517dc433f819b25e,1.0,0.0,0.0,20.0
393a02b18cc5126b4b3c63ee905d3de8,1.0,1.0,1.0,1791.0
3a8da3a3b225366792992011387051ea,0.0,0.0,1.0,2.0
3aeccd49caaf6891bda930a7ec9d481d,1.0,1.0,1.0,131.0
3c732a7edae66c0e41e06067d0ac801a,1.0,1.0,1.0,694.0
3e617b17afb808a1f4e2978aed643389,1.0,0.0,0.0,2.0
3e87d76be172cddcea2c6236a4ceabc6,1.0,1.0,1.0,151.0
40df3f2732bbf8dc28e165abe70f2887,0.0,0.0,1.0,5.0
42c99c59c96a894803c978acdcad4c94,1.0,1.0,0.0,439.0
43ba03a2f199d1893945f27ed1838688,0.0,1.0,1.0,130.0
43d1fd957d6f9d3d189b720187ac4cb6,1.0,1.0,1.0,6930.0
445cdd91749b43aef9b4363df84e1bac,0.0,1.0,0.0,52.0
4470dee2f2d9b8a45464a4a51128c478,1.0,0.0,0.0,3.0
45d54055f9567ba9c90f470183cee9ca,1.0,0.0,1.0,2964.0
4703f765f0b3a593b297ff41e83b5459,1.0,0.0,1.0,732.0
480ad10b52e6cfda3c1ffbf71ead37b8,1.0,0.0,1.0,1709.0
4836f680427d84c47b9d524feed7a76c,0.0,1.0,0.0,6.0
48ab59ed37a3a22aa3327e05215bfa01,1.0,0.0,0.0,3.0
4be35df8287e6b139dbf1989ac7eb4dd,1.0,1.0,1.0,8143.0
4bf5755d268fff2d47192c6ed23b9abb,0.0,1.0,1.0,120.0
4d0b1f2fb3643f6bf738ef83b4e0a459,1.0,1.0,1.0,450.0
4e419c75819bdd09e736e7dac10bcb13,1.0,1.0,1.0,323.0
4e70c6c513a7d28592442bc933139543,1.0,0.0,1.0,1589.0
514cea74b1fbaf5923f22d234369c1eb,1.0,0.0,0.0,106.0
53549e73f3731794a43fb96e66d88029,1.0,0.0,0.0,69.0
550adf88dd436377225374a8eec7780c,1.0,1.0,1.0,1928.0
551612ee2795982221d5863945f58c0a,1.0,1.0,1.0,439.0
5a06d6ed3b4a0089ac8c28866180b2a5,1.0,1.0,1.0,827.0
5d21790ab97ce3aa5fed5a6b8544a947,0.0,1.0,0.0,2.0
5dba7dc0a0d7d4e64df3c3631af428e8,1.0,1.0,1.0,10032.0
5dfcdeabdece63b073a638865cdf9258,1.0,0.0,0.0,42.0
5e987c1583f42e24be67f80520d778f1,1.0,1.0,1.0,155.0
5ed8bf43d5a05fd9270a0068e36a6d63,1.0,1.0,1.0,1204.0
619906855d99a758a48389d14245515b,1.0,1.0,0.0,770.0
635e8b84732a4c977502fca34d35db57,1.0,0.0,1.0,11.0
64b2411ef91c0e6c019f500c69cbbe03,1.0,1.0,1.0,45106.0
65fddca2c3b1619628f9b11b63057976,0.0,1.0,0.0,39.0
6869a7831565cb408186c609a4212f06,1.0,0.0,0.0,2.0
68c525b7ec5bddddc1ad49e66f60f899,1.0,0.0,0.0,119.0
698edafdc34f1af20429cc9e69d44e78,0.0,1.0,0.0,84.0
6c987094eb76bff568a4499383aa85e6,1.0,1.0,1.0,8000.0
6e9ae494f0de5603700bf5fdb654ab38,1.0,0.0,0.0,48.0
708fd884b56ce4627ca3b67841558707,1.0,1.0,0.0,209.0
723295ff58ca6eb617fd38ecda0a323b,0.0,1.0,1.0,49.0
72426e22aee2a9cb237d214c981d1afc,0.0,0.0,1.0,3.0
7338e9edfef034ec21924ff03d3f4417,1.0,1.0,1.0,1625.0
745dde531751a1d6794137086daf911c,0.0,1.0,0.0,5.0
75ceeaa937c64399438614ca3706cf2a,1.0,1.0,1.0,116103.0
76f9a53c26e327d1da7fad4d8a21c7ac,1.0,0.0,0.0,162.0
7d3b594a69dfa4b704069967b940d4a8,1.0,1.0,1.0,978.0
7d765be29bfabdcd283f3f75eef089ae,0.0,1.0,0.0,3.0
7dd511437f5df0313c4c8f24f3b1dcf4,0.0,1.0,0.0,46.0
80dc946a01370f529b617e07f938d10a,1.0,0.0,0.0,326.0
836f02cf73a28343e1d6b90c5d39a30d,1.0,0.0,0.0,11.0
847cb0f6eb71c710b84695f3b93c5a2a,1.0,0.0,0.0,804.0
84c86750bc93513f2c45087fc6b3f4eb,1.0,0.0,0.0,43.0
863c29cbde9e283358d0d42c792467d7,1.0,0.0,0.0,21.0
86c1a50dc88c2750737ba0d1fa2495cc,0.0,1.0,1.0,226.0
86c1b0ffa0cd7e55504c7be2707a407b,1.0,0.0,0.0,11.0
8846e334f7ee155c65dc88299e03d88e,1.0,0.0,0.0,98.0
8865554409d48e42e6a88dc81aa42431,0.0,1.0,0.0,60.0
889d62cb247ed539731d8907b9916be7,1.0,1.0,1.0,24832.0
88c4950b181ecf23ef8f146fc4c76496,1.0,0.0,0.0,4.0
8906bbb0bc817ccf0a622b7cdbd2f37e,1.0,0.0,0.0,650.0
893b1d7551a6a24c83b9dab571f87f3a,1.0,1.0,1.0,88.0
8a328af199fb2b7978e787b81adf8cc0,1.0,1.0,1.0,1629.0
8ec8ff981ab1011dda5943044363126d,1.0,1.0,1.0,23829.0
8f8ca9db2828b53243fb0fad0db8ecbe,0.0,1.0,0.0,136.0
93057ec78dd6c1244479732042625975,1.0,1.0,1.0,2220.0
9315f70338c4022f010a9190263f7d52,1.0,1.0,1.0,7759.0
9694e6ffb38ac8172ac055bc2d7521a6,0.0,1.0,0.0,16.0
980bd097972c54364b506a439d7c8383,1.0,0.0,0.0,162.0
9a8513a2733fb09dfab49241a4f71722,1.0,1.0,1.0,706.0
9c19f2e5b5d62ff243e302f63856d710,1.0,1.0,1.0,7423.0
9d16dafd9e3c68b77db0576c5ce81669,1.0,1.0,1.0,922.0
9dbe1d31f92323dcbdcc77903c6bba89,1.0,1.0,1.0,357.0
9f3efeb5f9734a225806ac77867e2874,1.0,1.0,1.0,2754.0
a0dabbc7146fef9e4b785fc0527f4e55,1.0,1.0,1.0,214.0
a139c4aa6dab387842a53eac47d79250,1.0,0.0,0.0,314.0
a160c1238c9dcfa23a710d6eba6d908b,1.0,1.0,1.0,2288.0
a45026aa576c683a1d3a4c4babed6c45,0.0,1.0,1.0,68.0
a55b87d8b5650a6d05436a24c2891284,0.0,1.0,0.0,7.0
a6403cc4635bf5216e10d8724763fb72,1.0,1.0,1.0,10637.0
a6937cf00ae51a2474066090123a7edf,0.0,0.0,1.0,2.0
a8651618911e5bb5d1066e5abca8f322,1.0,1.0,1.0,18886.0
a882832599b2ce6fd557c3ef3ae8a120,1.0,0.0,1.0,623.0
ab619ae512940c31b0e1276838ef1141,0.0,1.0,1.0,120.0
aca25a36c45e5f3ecdccc499c87267f9,1.0,0.0,0.0,8.0
b1ba4b300f79838fc4c164465433b097,1.0,0.0,0.0,13.0
b25d48f0d9cf417c432e0660d30e7122,1.0,1.0,1.0,624.0
b2baa004c4ac84776c44c396070a256c,1.0,1.0,1.0,12011.0
b8ccf44a5ebd1886aa4cff6a542ff96a,1.0,1.0,1.0,514.0
b8d552c1bbcbfd52c245a1733baf6397,1.0,1.0,1.0,973.0
ba62640c0884d76c17f04646589d85cb,0.0,0.0,1.0,83.0
bc794a8df80afbc3c469b5293b74c7f6,1.0,1.0,1.0,39886.0
bc8620e2ab25efa5bb52323428b9982f,0.0,0.0,1.0,40.0
c225abf5d23033d9a3ddf2223c9708c3,0.0,1.0,0.0,11.0
c27b56055b87ee48a153080f798f5cf1,0.0,1.0,0.0,3.0
c390351101efc06ec51b7d06f924762b,0.0,0.0,1.0,2.0
c4491e4d3379b7d9c19114be15767b13,1.0,0.0,0.0,93.0
c542b0adfd30a106121df454810c9a8c,1.0,0.0,0.0,12.0
c6e68ccc8cbb22e3f18c224d43eb6e59,1.0,1.0,1.0,427.0
c88efd6ca516c00abaf296e6e087a402,1.0,0.0,0.0,16.0
c8fc3489335770d53de6d00c2f22b65b,1.0,1.0,1.0,130.0
c982c2431272645f713662ac2fa97dcb,1.0,0.0,1.0,3343.0
cabf596f7d8de199a0061f7ac6043860,1.0,0.0,1.0,906.0
d2fa14304ff63e77f9842f126aff2e5d,1.0,0.0,0.0,154.0
d3197be717228561fa01a9c7f2d88226,1.0,0.0,0.0,5.0
d3ce11e481ea3daa1769b6c471e5486e,1.0,1.0,0.0,568.0
d59d2cbfdcf5917833bc782cf6a3f680,1.0,1.0,1.0,548.0
d7380ce1b88f1b6ad39c8e0ff05049a2,0.0,1.0,1.0,166.0
d883e3b29658c861ac524bbfc2cef34d,1.0,1.0,1.0,6789.0
d95c0c75472221c0a32d9ac9f2f0942e,0.0,0.0,1.0,9.0
dbc0c8aadd098d0e4016ccb26d8d857a,0.0,0.0,1.0,2.0
dbc34d9228a689b18647195e71c143e2,0.0,1.0,0.0,5.0
dc8512624e791f8e2c40069da0e5d05b,1.0,1.0,1.0,837.0
dcfb303aef556a16faafff22a5893d9d,0.0,1.0,0.0,177.0
dfdfcf7ead0f208b0e9a55b7227acbb9,1.0,1.0,1.0,410.0
e37412a3022b3cd6a5c45300a4ce1e24,1.0,0.0,1.0,562.0
e41ef3cae7e41a6809aec97863bb280b,1.0,0.0,0.0,19.0
e5138b6c59a8f7a2197dac62a70bb181,1.0,1.0,0.0,275.0
e5586435e9fc2ebf907d67e5cba60446,1.0,1.0,1.0,769.0
e57f916c60a711193a31e25efdb76e12,1.0,1.0,1.0,2529.0
e6f1ed5279eedc989d0774317f0a7565,1.0,1.0,1.0,43.0
e94c43a6a4852fa204461351fbaaa24a,0.0,1.0,1.0,167.0
e9554c40d28533abfb69b75f2006cf2a,1.0,0.0,0.0,56.0
eb13f1923193a033e8acb59e291ad29e,1.0,1.0,1.0,1389.0
eb5bd46909487260cbc840d3a2f88416,1.0,0.0,0.0,1378.0
edd3ec021d2822a47beeb4cb65023760,1.0,1.0,1.0,9643.0
eedb0bbbeea31b6ad80fe11ec83cebdf,0.0,1.0,1.0,217.0
ef78b0a7c74a2c6a3ac805d0da5706c4,1.0,1.0,1.0,2120.0
f005dc633b6238675c64a6b9ea4e5d21,1.0,1.0,0.0,56.0
f274e708a774d9250c89e480f83a48ff,1.0,1.0,1.0,1388.0
f3765bc06280a5199be7bae8366e3497,1.0,0.0,1.0,393.0
f7f5ae96630cb157ab32ee00911f9296,0.0,1.0,0.0,4.0
f83a5b3a8f84b53039d894bcab0703bb,1.0,1.0,1.0,680.0
f945a897a750548302f909957107aaa1,1.0,0.0,0.0,42.0
f9daffcc8a4ef25306fde6885b527c31,0.0,1.0,0.0,87.0
fb19e11feef725df6472b370fcba8442,1.0,0.0,0.0,104.0
fb66cb6c639ce8f3e56836adf19502d0,0.0,1.0,1.0,233.0
fc1bd715c17f4c453761899540051556,1.0,0.0,0.0,33.0
fcc8273752120d2dc6503688d9986f2e,0.0,0.0,1.0,1214.0
fcd652a0713d99b219c366b29db68407,1.0,0.0,0.0,4.0
fcfe73320d11c0be19622c3909a713fa,1.0,0.0,1.0,99.0
fd139e5236148c5a393c935329831fd0,1.0,1.0,1.0,225.0
fd16a82a82853872b666fdc803430c2a,0.0,1.0,0.0,15.0
fdc5095b7b01992bdff5584eb10b33bf,1.0,1.0,0.0,173.0
fdddf42b760e89280fea98af41fa933d,0.0,0.0,1.0,6.0
fe5b01ce07a1388766995efb7e474f21,1.0,0.0,0.0,495.0
ff95bfa1d4eac1641833f888869ac960,1.0,0.0,0.0,2.0
ffae4a30dab802459530bff595fbaf97,1.0,1.0,1.0,376.0
