Genus,L30,S30,W30,feature_frequency
g__0319-6G20,0.0,0.0,1.0,45.0
g__053A03-B-DI-P58,1.0,1.0,1.0,566.0
g__1174-901-12,0.0,0.0,1.0,2.0
g__37-13,1.0,0.0,0.0,35.0
g__4-29,0.0,1.0,0.0,3.0
g__4572-13,1.0,0.0,1.0,7.0
g__AB1,1.0,1.0,1.0,168.0
g__AEGEAN-169_marine_group,0.0,1.0,1.0,2764.0
g__AKAU3564_sediment_group,1.0,1.0,1.0,71.0
g__AR15,0.0,0.0,1.0,4.0
g__AT-s3-44,1.0,1.0,1.0,13724.0
g__Abditibacterium,1.0,0.0,0.0,8.0
g__Acantharea_Group_I,0.0,0.0,1.0,2.0
g__Acanthopleuribacter,1.0,0.0,0.0,111.0
g__Acidisoma,1.0,1.0,1.0,3632.0
g__Acidocella,0.0,1.0,0.0,14.0
g__Acidovorax,1.0,1.0,1.0,4427.0
g__Acinetobacter,1.0,1.0,1.0,1994.0
g__Actinocyclus,0.0,0.0,1.0,2.0
g__Aeromonas,1.0,1.0,1.0,781.0
g__Agathobacter,1.0,1.0,1.0,1372.0
g__Akashiwo,1.0,0.0,1.0,7.0
g__Alcanivorax,1.0,1.0,1.0,715.0
g__Algibacter,1.0,1.0,1.0,15190.0
g__Algitalea,1.0,0.0,0.0,11.0
g__Algoriphagus,0.0,0.0,1.0,26.0
g__Aliivibrio,0.0,1.0,0.0,31.0
g__Alistipes,1.0,1.0,1.0,427.0
g__Altererythrobacter,0.0,0.0,1.0,72.0
g__Alteromonadaceae,0.0,0.0,1.0,5.0
g__Alteromonas,1.0,1.0,1.0,5331.0
g__Aminicenantales,0.0,0.0,1.0,120.0
g__Amoebophrya,1.0,1.0,1.0,393.0
g__Amylibacter,1.0,1.0,1.0,102298.0
g__Anaerovibrio,0.0,0.0,1.0,2.0
g__AncK6,0.0,1.0,1.0,10.0
g__Anderseniella,0.0,0.0,1.0,11.0
g__Aquabacterium,0.0,1.0,1.0,19.0
g__Aquibacter,1.0,1.0,1.0,1917.0
g__Aquicella,1.0,1.0,1.0,234.0
g__Arcobacter,0.0,0.0,1.0,85.0
g__Arctic97B-4_marine_group,0.0,1.0,1.0,589.0
g__Arenibacter,1.0,0.0,0.0,30.0
g__Arenicella,1.0,1.0,1.0,2233.0
g__Ascidiaceihabitans,1.0,1.0,1.0,38976.0
g__Aurantimonas,1.0,1.0,1.0,107.0
g__Aurantivirga,0.0,0.0,1.0,131.0
g__Aureispira,1.0,1.0,1.0,3149.0
g__Aureobasidium,1.0,0.0,0.0,69.0
g__B2M28,1.0,0.0,1.0,200.0
g__BD1-7_clade,1.0,1.0,1.0,2966.0
g__BD2-11_terrestrial_group,1.0,1.0,1.0,7173.0
g__BD2-3,0.0,1.0,0.0,11.0
g__BD7-11,1.0,1.0,1.0,4279.0
g__BD7-8,1.0,1.0,1.0,2013.0
g__BSV26,0.0,1.0,0.0,13.0
g__Babeliales,0.0,1.0,1.0,51.0
g__Bacteroides,1.0,1.0,1.0,8034.0
g__Bacteroidetes_BD2-2,1.0,0.0,1.0,103.0
g__Bacteroidetes_VC2.1_Bac22,1.0,1.0,1.0,885.0
g__Balneola,0.0,1.0,1.0,515.0
g__Barnesiella,0.0,0.0,1.0,75.0
g__Bathyarchaeia,1.0,0.0,0.0,8.0
g__Bathycoccus,0.0,1.0,1.0,685.0
g__Berkelbacteria,0.0,1.0,0.0,6.0
g__Bilophila,0.0,0.0,1.0,15.0
g__Blastocatella,1.0,1.0,0.0,10.0
g__Blastopirellula,1.0,1.0,1.0,31539.0
g__Blautia,1.0,1.0,1.0,250.0
g__Blfdi19,1.0,1.0,1.0,154.0
g__Bradymonadales,1.0,1.0,1.0,932.0
g__Brevundimonas,0.0,0.0,1.0,129.0
g__Brumimicrobium,0.0,1.0,1.0,156.0
g__Butyricicoccus,0.0,1.0,0.0,21.0
g__C1-B045,0.0,0.0,1.0,32.0
g__CHAB-XI-27,0.0,1.0,1.0,143.0
g__CK-2C2-2,0.0,1.0,0.0,2.0
g__CL500-3,1.0,1.0,1.0,10243.0
g__Caenarcaniphilales,0.0,1.0,1.0,63.0
g__Calanoida,1.0,1.0,1.0,2760.0
g__Calditrichaceae,1.0,0.0,1.0,32.0
g__Candidatus_Actinomarina,1.0,1.0,1.0,22266.0
g__Candidatus_Aquiluna,0.0,1.0,1.0,3382.0
g__Candidatus_Bacilloplasma,0.0,0.0,1.0,10.0
g__Candidatus_Berkiella,1.0,1.0,1.0,355.0
g__Candidatus_Captivus,0.0,0.0,1.0,4.0
g__Candidatus_Electrothrix,0.0,0.0,1.0,4.0
g__Candidatus_Endoecteinascidia,0.0,1.0,1.0,138.0
g__Candidatus_Megaira,1.0,1.0,1.0,909.0
g__Candidatus_Methylopumilus,0.0,1.0,1.0,849.0
g__Candidatus_Midichloria,0.0,1.0,0.0,2.0
g__Candidatus_Nitrosopelagicus,0.0,1.0,1.0,540.0
g__Candidatus_Nitrosopumilus,1.0,1.0,1.0,241424.0
g__Candidatus_Omnitrophus,1.0,1.0,1.0,559.0
g__Candidatus_Puniceispirillum,0.0,1.0,1.0,8479.0
g__Candidatus_Tenderia,0.0,1.0,1.0,150.0
g__Capitellida,0.0,0.0,1.0,177.0
g__Caproiciproducens,0.0,0.0,1.0,3.0
g__Caulobacter,0.0,1.0,1.0,55.0
g__Cellvibrio,0.0,1.0,1.0,129.0
g__Cephaloticoccus,0.0,0.0,1.0,8.0
g__Cerasicoccus,0.0,1.0,0.0,31.0
g__Chaetoceros,1.0,0.0,1.0,821.0
g__Chloroplast,1.0,1.0,1.0,721306.0
g__Christensenellaceae_R-7_group,0.0,1.0,1.0,187.0
g__Chryseobacterium,1.0,0.0,1.0,1362.0
g__Chrysochromulina,0.0,0.0,1.0,54.0
g__Chrysophyceae,1.0,1.0,0.0,70.0
g__Chytriodinium,1.0,0.0,1.0,23.0
g__Clade_II,1.0,1.0,1.0,67307.0
g__Clade_III,1.0,1.0,1.0,4895.0
g__Clade_IV,0.0,1.0,1.0,1990.0
g__Clade_Ia,1.0,1.0,1.0,221714.0
g__Clade_Ib,0.0,1.0,1.0,620.0
g__Clavibacter,0.0,1.0,1.0,107.0
g__Cloacibacterium,0.0,0.0,1.0,32.0
g__Clostridia_UCG-014,1.0,0.0,1.0,80.0
g__Clostridia_vadinBB60_group,1.0,0.0,0.0,16.0
g__Clostridium_sensu_stricto_13,0.0,1.0,0.0,138.0
g__Cm1-21,1.0,1.0,1.0,4714.0
g__Cobetia,0.0,1.0,1.0,38.0
g__Cocleimonas,0.0,0.0,1.0,15.0
g__Colidextribacter,1.0,0.0,0.0,21.0
g__Collimonas,1.0,1.0,1.0,406.0
g__Colwellia,1.0,1.0,1.0,101004.0
g__Comamonas,0.0,1.0,0.0,122.0
g__Coxiella,1.0,1.0,1.0,1655.0
g__Croceibacter,1.0,1.0,1.0,359.0
g__Croceicoccus,0.0,0.0,1.0,509.0
g__Crocinitomix,1.0,1.0,1.0,32718.0
g__Cryothecomonas,1.0,0.0,0.0,41.0
g__Cryptocaryon,1.0,1.0,1.0,134.0
g__Cryptomonadales,0.0,0.0,1.0,27.0
g__Cupriavidus,1.0,0.0,0.0,46.0
g__Curvibacter,0.0,1.0,1.0,2435.0
g__Cyclobacterium,0.0,0.0,1.0,17.0
g__Cycloclasticus,1.0,1.0,1.0,88.0
g__Cyclopoida,1.0,1.0,1.0,1119.0
g__Cydippida,1.0,0.0,1.0,418.0
g__Cyphellophora,0.0,1.0,1.0,68.0
g__DEV007,1.0,1.0,1.0,9354.0
g__DMER64,0.0,0.0,1.0,33.0
g__DMI,0.0,1.0,0.0,2.0
g__Dadabacteriales,1.0,1.0,1.0,3990.0
g__Dechloromonas,1.0,0.0,1.0,948.0
g__Defluviitaleaceae_UCG-011,1.0,0.0,1.0,14.0
g__Delftia,1.0,1.0,1.0,131.0
g__Desulfatiglans,1.0,0.0,1.0,148.0
g__Desulfoconvexum,1.0,1.0,0.0,17.0
g__Desulfofrigus,1.0,0.0,0.0,482.0
g__Desulfosarcina,1.0,0.0,0.0,66.0
g__Desulfosporosinus,0.0,0.0,1.0,2.0
g__Desulfotalea,0.0,1.0,0.0,128.0
g__Dethiosulfovibrio,0.0,1.0,0.0,2.0
g__Diaphanoeca,0.0,0.0,1.0,34.0
g__Diplosphaera,0.0,1.0,1.0,44.0
g__Draconibacterium,1.0,0.0,1.0,137.0
g__Duboscquella,1.0,1.0,1.0,33.0
g__Dyella,1.0,1.0,1.0,5737.0
g__EF100-94H03,0.0,1.0,1.0,920.0
g__EPR3968-O8a-Bc78,0.0,1.0,1.0,16.0
g__EV818SWSAP88,1.0,1.0,1.0,175.0
g__Edaphobaculum,1.0,0.0,0.0,84.0
g__Ekhidna,0.0,1.0,0.0,3.0
g__Enhydrobacter,0.0,0.0,1.0,48.0
g__Erysipelotrichaceae_UCG-003,0.0,1.0,0.0,45.0
g__Erythrobacter,1.0,1.0,1.0,2619.0
g__Escherichia-Shigella,0.0,1.0,0.0,53.0
g__Eudoraea,1.0,0.0,1.0,132.0
g__FS140-16B-02_marine_group,1.0,1.0,1.0,2762.0
g__Fabibacter,0.0,1.0,1.0,9.0
g__Faecalibacterium,1.0,1.0,1.0,1393.0
g__Fermentibacteraceae,0.0,1.0,1.0,41.0
g__Filobasidium,0.0,0.0,1.0,55.0
g__Filomicrobium,1.0,1.0,1.0,1237.0
g__Flamella,0.0,1.0,0.0,28.0
g__Flavicella,0.0,1.0,0.0,79.0
g__Flavobacterium,1.0,1.0,1.0,7018.0
g__Fluviicola,1.0,1.0,1.0,155740.0
g__Formosa,1.0,1.0,1.0,13145.0
g__Francisella,1.0,1.0,1.0,73.0
g__Fuerstia,1.0,1.0,1.0,33234.0
g__Fusibacter,0.0,1.0,0.0,79.0
g__Fusobacterium,1.0,1.0,0.0,39.0
g__GKS98_freshwater_group,0.0,0.0,1.0,196.0
g__GW2011_GWC1_47_15,0.0,1.0,0.0,19.0
g__Ga0077536,1.0,1.0,1.0,2463.0
g__Gaetbulibacter,1.0,0.0,0.0,5.0
g__Geopsychrobacter,1.0,1.0,0.0,291.0
g__Gillisia,0.0,1.0,1.0,14.0
g__Gimesia,1.0,1.0,1.0,6999.0
g__Glaciecola,1.0,1.0,1.0,32325.0
g__Gramella,0.0,1.0,1.0,154.0
g__Granulosicoccus,1.0,1.0,1.0,54.0
g__Gyrodinium,1.0,0.0,1.0,1848.0
g__HOC36,0.0,1.0,1.0,679.0
