Genus,L1,S1,W1,feature_frequency
Unassigned,1.0,1.0,1.0,12865.0
g__Amoebophrya,1.0,1.0,1.0,393.0
g__Annelida,1.0,0.0,0.0,8.0
g__Aspidisca,1.0,0.0,0.0,5.0
g__Bacillariophyceae,1.0,0.0,1.0,5.0
g__Bathycoccus,0.0,1.0,1.0,685.0
g__Bicosta,1.0,1.0,1.0,72.0
g__Bolidomonas,0.0,1.0,0.0,14.0
g__Caecitellus,0.0,1.0,0.0,8.0
g__Calanoida,1.0,1.0,1.0,2760.0
g__Calliacantha,1.0,0.0,0.0,8.0
g__Capitellida,1.0,0.0,0.0,177.0
g__Chaetoceros,1.0,1.0,1.0,821.0
g__Choreotrichia,1.0,0.0,0.0,6.0
g__Chrysocampanula,1.0,0.0,0.0,6.0
g__Chrysochromulina,1.0,1.0,0.0,54.0
g__Cryothecomonas,1.0,1.0,1.0,41.0
g__Cryptocaryon,1.0,1.0,1.0,134.0
g__Cyclopoida,1.0,1.0,0.0,1119.0
g__Cydippida,1.0,0.0,0.0,418.0
g__Cyphellophora,0.0,1.0,0.0,68.0
g__DSGM-81,0.0,1.0,0.0,4.0
g__Dictyocha,1.0,0.0,0.0,7.0
g__Ellisia,0.0,1.0,0.0,4.0
g__Esquamula,1.0,0.0,0.0,8.0
g__Eucampia,1.0,0.0,0.0,13.0
g__Filobasidium,0.0,0.0,1.0,55.0
g__Florenciella,0.0,1.0,1.0,21.0
g__Gymnodinium,1.0,0.0,0.0,195.0
g__Gyrodinium,1.0,1.0,1.0,1848.0
g__Hemiselmis,0.0,1.0,1.0,43.0
g__Hymenoptera,1.0,1.0,1.0,317.0
g__Katablepharis,1.0,0.0,0.0,20.0
g__Lagenoeca,0.0,1.0,0.0,2.0
g__Lankesteria,1.0,0.0,0.0,2.0
g__Leptothecata,1.0,0.0,0.0,2684.0
g__Leucocryptos,1.0,0.0,0.0,61.0
g__MAST-12A,0.0,0.0,1.0,25.0
g__MAST-1A,1.0,1.0,1.0,877.0
g__MAST-1B,1.0,1.0,1.0,292.0
g__MAST-1C,1.0,1.0,1.0,143.0
g__MAST-2,1.0,1.0,1.0,134.0
g__MAST-3B,1.0,0.0,0.0,5.0
g__MAST-3E,0.0,0.0,1.0,16.0
g__MAST-4,0.0,1.0,0.0,133.0
g__MAST-6,1.0,0.0,0.0,59.0
g__MAST-7A,0.0,1.0,1.0,272.0
g__MAST-7B,0.0,0.0,1.0,15.0
g__Magnoliophyta,0.0,0.0,1.0,147.0
g__Marine_Choanoflagellates_1,1.0,0.0,1.0,12.0
g__Micromonas,0.0,1.0,1.0,620.0
g__Myoida,1.0,0.0,0.0,8.0
g__Myrionecta,0.0,1.0,0.0,22.0
g__Neoceratium,0.0,1.0,0.0,6.0
g__Novel_Clade_2,1.0,0.0,0.0,75.0
g__OLI51059,1.0,0.0,0.0,4.0
g__Opisthonecta,1.0,1.0,1.0,17.0
g__Palpitomonas,1.0,1.0,1.0,104.0
g__Paraphysomonas,1.0,1.0,1.0,86.0
g__Pedinellales,1.0,1.0,0.0,44.0
g__Pelagostrobilidium,0.0,1.0,0.0,149.0
g__Phaeocystis,1.0,1.0,1.0,987.0
g__Picomonadida,1.0,0.0,1.0,36.0
g__Picozoa,0.0,0.0,1.0,29.0
g__Pithites,1.0,0.0,0.0,84.0
g__Pleurasiga,1.0,0.0,0.0,12.0
g__Ploimida,1.0,0.0,0.0,68.0
g__Pseudo-nitzschia,0.0,0.0,1.0,2.0
g__Puccinia,0.0,1.0,1.0,313.0
g__Rimostrombidium,1.0,1.0,1.0,256.0
g__Skeletonema,1.0,0.0,0.0,135.0
g__Spirotontonia,1.0,1.0,0.0,126.0
g__Spirotrichea,0.0,1.0,0.0,42.0
g__Stenosemella,1.0,0.0,0.0,42.0
g__Strombidium,1.0,1.0,1.0,594.0
g__Syndiniales_Group_I,1.0,1.0,1.0,1269.0
g__Syndiniales_Group_II,0.0,1.0,1.0,425.0
g__Syndiniales_Group_III,1.0,0.0,1.0,176.0
g__Teleaulax,1.0,1.0,1.0,2354.0
g__Telonema,1.0,0.0,1.0,277.0
g__Thalassiosira,1.0,0.0,1.0,797.0
g__Tintinnidium,1.0,0.0,0.0,40.0
g__Tintinnopsis,1.0,0.0,0.0,27.0
g__uncultured,1.0,1.0,1.0,4872.0
