	BB22.10A	BB22.10AL	BB22.10AS	BB22.10ASL	BB22.11A	BB22.11AL	BB22.11AS	BB22.11ASL	BB22.12A	BB22.12AL	BB22.12AS	BB22.12ASL	BB22.13A	BB22.13AL	BB22.13AS	BB22.13ASL	BB22.14A	BB22.14AL	BB22.14AS	BB22.14ASL	BB22.15A	BB22.15AL	BB22.15AS	BB22.15ASL	BB22.16A	BB22.16AL	BB22.16AS	BB22.16ASL	BB22.1A	BB22.1AL	BB22.1AS	BB22.1ASL	BB22.2A	BB22.2AL	BB22.2AS	BB22.2ASL	BB22.3A	BB22.3AL	BB22.3AS	BB22.3ASL	BB22.4A	BB22.4AL	BB22.4AS	BB22.4ASL	BB22.5A	BB22.5AL	BB22.5AS	BB22.5ASL	BB22.6A	BB22.6AL	BB22.6AS	BB22.6ASL	BB22.7A	BB22.7AL	BB22.7AS	BB22.7ASL	BB22.8A	BB22.8AL	BB22.8AS	BB22.8ASL	BB22.9A	BB22.9AL	BB22.9AS	BB22.9ASL
BB22.10A	0.0	59.41818440188922	84.69857858762072	84.90965220631172	9.793875726537912	57.062716615649734	90.69964742867866	89.35800736612825	70.92876633330489	44.32498768364312	92.99815800855212	91.01408916995513	90.87955996665345	81.24706000241797	99.44511227823183	102.53384551333036	74.50893339741883	49.60289383255394	70.71722678526164	70.05395790886567	94.19150794137661	78.67548186194362	98.20194064614567	100.4388882760966	75.82072854642725	66.27778723849778	107.80266214456854	102.8397260721243	117.58248798463384	107.83603403894121	112.76892008188251	114.48312311694546	113.18579145734081	81.52012201832095	113.82876518150898	112.14628913456288	95.16373790219849	38.37545136546573	100.60704030945685	96.02398884673272	113.34036569210198	43.08481668533689	118.04536453933274	112.04515812543042	78.67640652655349	72.38581575305832	102.05748905142505	100.9435356520068	115.68852853922498	73.08740136399008	99.88423142246387	99.95906388794789	99.10973227185872	60.28037063412283	98.09489947388688	95.53271152158392	77.31331867302823	29.377181453982747	88.54108754087707	84.81161831996098	61.30357527585201	68.66698464244647	58.86161801675176	71.32704442123723
BB22.10AL	59.41818440188922	0.0	83.22175400644778	68.70812613898048	59.89235972586886	47.63422807952081	84.71744088782162	78.99515699553099	65.58336472008283	50.86937487730162	87.24095791259883	84.23480435442627	82.14214031940155	67.57978797099751	94.73658245055024	91.96177512068182	72.11178104791912	54.16682670625901	75.44355750220454	67.05989020970917	89.17885577473051	75.36379967638501	95.5922922706746	94.6521685814402	75.06499827486232	65.03042398635391	105.4392013598305	97.32504861035044	114.32588241977422	99.41220939406715	113.44208480931957	110.23380010903486	108.71285064742655	76.74848360956145	114.1740616869636	109.69679580262604	91.15184331047135	52.24925027583898	98.13483479656728	93.8248283758452	109.21019054082834	51.39726311526745	115.01691307193603	107.42756488116532	79.73722132811889	68.4687545379468	102.34239307592608	97.92011171277053	109.76920561220139	63.95345764278964	99.33727247455592	94.0905251215195	94.53213309584694	55.79998337629844	98.02848659352343	90.97742608844555	75.63951468371643	51.10541250002192	88.67784248216422	83.90101886153286	64.70244070657716	55.840958324529325	66.81544355176845	60.62204432643562
BB22.10AS	84.69857858762072	83.22175400644778	0.0	28.20210066119381	85.12317123986459	86.20548620605331	60.372629984266744	61.950943867178715	68.98376258271804	83.1852344541869	71.16343289847376	70.25473339132525	76.64344841717623	97.51082039167369	72.63466201353884	78.54075839588336	72.00775423678526	86.65994963471132	67.26930337586954	70.48545573106568	79.93864750893374	104.75804749610872	75.68006834836598	82.48175655687764	72.59614748799	94.35282471932251	85.42195563632544	85.76386970062438	106.10790304477001	120.80547678962735	99.81908420526301	105.64319919434173	101.59625468874852	101.14298389091658	100.26108724745323	100.28462152415044	79.38695405419182	84.02259987297056	79.68290510620409	77.29564623130345	94.78572143754185	85.51310027285007	94.68764712698761	89.85468392510109	73.22373865331288	95.68308640975953	80.92009883289543	82.65260913144841	91.14565015800572	92.19227922432422	73.82143753789097	77.4405559114512	72.43566881501751	85.74112014269224	73.01664779436557	73.21846879927172	59.66236764312493	82.86205174244095	66.42017769982857	64.20192280802412	62.777397543744016	93.85556553956886	62.022837457826824	73.93094902306457
BB22.10ASL	84.90965220631172	68.70812613898048	28.20210066119381	0.0	85.31216179683872	78.80838977576137	60.31255865353199	57.65112520957891	66.04557553627107	78.79302930104818	69.55618706295245	67.78475078238145	72.18471890243808	88.74294685399167	71.32703731876617	72.84588358137702	69.55405705109061	81.4356953299439	68.93476691617795	66.84022593510136	77.97497832786871	99.05854778456035	76.2220534892881	80.27191249339701	70.45831623941862	88.3975957737391	85.8604751071251	82.84821014942217	105.01671504528281	115.1247960007931	100.78812068522127	103.18712656098772	99.73915838553569	96.47360017814954	101.31012776379754	99.437457604778	77.42327556113301	80.79320015101815	79.81561917619155	77.04000938536898	93.56686994190618	81.46807865336234	95.10405138415247	88.91398646422714	73.58860771895952	91.21965999867048	83.15599309822491	82.33575708362531	89.77408870473677	85.61664058700255	75.95957254182036	75.17517207161328	72.32794930982355	80.67853857324663	75.97428570392856	72.4128951304825	58.83031594152522	80.5151330574734	67.87101660735921	64.76405869569554	63.233170917538324	85.0888766670868	63.744802528860895	66.38123456493676
BB22.11A	9.793875726537912	59.89235972586886	85.12317123986459	85.31216179683872	0.0	57.38320223864636	91.04950408238226	89.6902481594759	71.20174603579869	44.335040611056186	93.49188600260938	91.50248879962977	91.18937603498965	81.35419533383798	99.78353599831937	102.84082351079378	74.86320176321719	49.534536685642756	71.11644539346838	70.38687127816401	94.50917650553025	78.89836157625619	98.72451558678175	100.91457586788276	76.14599628151502	66.60154476471152	108.15948851326638	103.17263363516257	117.78986518708246	108.12880213198488	113.09056456390041	114.7657334589042	113.63501825993545	81.7702897974004	114.26382414051855	112.51468250869425	95.49214622818411	38.5997160067979	100.92304529277051	96.33926388479243	113.58369842718659	43.623192314899676	118.31579810560343	112.31499213991098	79.10517248303859	72.89995759059663	102.3940483590801	101.27738410375595	116.03737498535614	73.22350717710411	100.28519678341388	100.2694515990737	99.67364461412447	61.06453388495377	98.34678315728803	95.90747075389643	77.58851443730414	29.125675653194445	88.76222316515795	85.02367756543923	61.78156648612204	68.89563838714275	59.39370710376342	71.7375307827018
BB22.11AL	57.062716615649734	47.63422807952081	86.20548620605331	78.80838977576137	57.38320223864636	0.0	86.83137913765765	75.0236046856297	64.4990902570236	45.021593013575455	86.5806551687846	83.25020180959508	81.86429293292316	67.51524082567317	97.00333323896706	94.3862518683042	71.62245168879797	50.72337309037893	76.61908554803601	67.765151432981	89.70384499436304	71.14048822041481	96.46296610874292	95.1207353312065	75.04427697045608	60.31230189685044	107.44915785030327	98.4193839750413	116.21211733420678	99.66015008196415	115.27515150232492	111.77317703423053	110.76179341272434	77.41566247392474	115.72294939556217	111.47785811010122	93.44609915720845	51.18835905307472	99.99971474984852	95.73469308904033	111.20514036137457	51.67927665305686	116.19763920458634	109.23151839972797	81.6774919591718	70.14639695445732	103.35040105910201	99.73454240053297	111.75943963599904	64.7886745039273	101.10483748814211	96.44708328200107	97.52765529255839	58.81059496895566	101.22625247059021	94.823695782838	77.91677631644944	49.96060110400378	90.79361521371577	86.36435123653997	68.30047824849234	57.35402499445413	69.68331432806546	63.81999452756178
BB22.11AS	90.69964742867866	84.71744088782162	60.372629984266744	60.31255865353199	91.04950408238226	86.83137913765765	0.0	24.156610219466415	66.01742763812662	84.87044165736619	62.48012836921252	61.615629163635155	69.70965637353864	94.85712721434304	65.75991363668713	71.75640674819907	69.65422917214208	88.43144714716796	67.36023517616687	68.65846311040778	73.06425819222889	103.52448797176228	69.39538107877794	76.57881106822435	69.67001490378247	92.1642750004883	79.06498308707661	78.68218938362763	108.71101331755091	122.75326040588536	103.73413436572137	108.82182289993973	104.7896402761474	103.69224673753718	104.38482272265746	104.1591958958503	83.94885664286427	88.33733101738896	84.43548606915627	82.18946560359713	97.59613070489375	89.47649751376898	97.83685987337874	93.02211458518558	80.252505077604	99.685452693339	88.18445344298291	89.52650473072983	92.49462733143436	94.86561109240553	79.20945266304332	81.47742457653982	77.49705725541529	90.63433349908355	77.33315659764142	76.98429764285574	65.18446897290924	87.25709864419905	70.79443968790683	68.34198097843652	70.92434388594938	95.60986880294682	70.36819588234017	77.74617171296677
BB22.11ASL	89.35800736612825	78.99515699553099	61.950943867178715	57.65112520957891	89.6902481594759	75.0236046856297	24.156610219466415	0.0	62.801219452477426	80.31985511340497	60.998663102356645	59.04177346716664	66.08220146442764	88.5970322445527	66.56293446345546	68.83999415752062	67.3655743643753	84.06102200586623	67.93706144889046	65.87632783605275	71.88576003598124	98.60044251560312	70.47149391394902	74.87000794719982	68.04641876288817	87.37629890957936	80.89698842677674	77.16287449650052	107.79291495421944	117.72213519242295	104.4035863755183	106.71853199806311	103.00976991099134	99.14584913233806	104.58105043841371	102.92338882793292	82.47719590760168	85.22503458759313	84.04515561293377	81.53511927369686	96.3037798538214	85.89181131565651	97.56645574124362	91.99837423691176	79.58759706257403	95.7379023702682	88.49539610988812	88.23734161203886	91.14274735936402	89.12190762980542	80.19171276857607	79.4994766541255	77.33276035476302	86.27877557316702	79.17911569571643	76.38818696118138	64.51907449256916	84.73373334180113	71.60458800427588	68.80558766052815	70.72417718838535	88.68479840956834	70.54342618209473	71.9346912336588
BB22.12A	70.92876633330489	65.58336472008283	68.98376258271804	66.04557553627107	71.20174603579869	64.4990902570236	66.01742763812662	62.801219452477426	0.0	60.28545074225585	60.161127441647686	57.71513581688939	57.69244707454372	76.18535670835546	74.51078278759637	76.33006011710677	51.45288391817279	64.51901536484053	57.55001374980869	53.52875836734195	67.58765060613455	83.52004235758713	72.06776911750761	75.68764623316456	52.67133345998798	71.57541866315874	83.41948247632294	78.5519944563613	112.66689791685177	112.53128906065986	109.45576464836175	111.11148897978674	106.1727536677187	90.74337279026321	109.20001057015165	106.90210537616063	85.40397037144231	69.53921647822327	90.46211924798915	87.02846401908134	103.02631798566279	70.7587258508924	105.85931181877713	100.0017541851867	74.60117937281557	86.01912738262556	92.13808137501664	91.92658235913372	100.48449620485705	79.79960770175194	87.54131240353762	86.26184064652047	83.75602140744009	73.49457947960299	85.7846752253535	82.66004484930451	66.20450537263623	67.67359469544942	76.26909633611739	72.75621347325905	60.237457782614655	79.422218729106	60.95603671523344	67.32378013707392
BB22.12AL	44.32498768364312	50.86937487730162	83.1852344541869	78.79302930104818	44.335040611056186	45.021593013575455	84.87044165736619	80.31985511340497	60.28545074225585	0.0	83.31844427903654	78.96594584749853	77.92516212285912	65.33573553233913	91.87247318273099	91.74973219034916	65.00962726174062	40.93445172892339	67.587111059354	61.02348793410026	85.9895946602278	68.82126634938795	91.9663380097206	91.8331129337222	68.14151099476831	55.20383950522296	102.26870495530433	94.06924983853118	116.67089609487988	102.82665048699853	113.75227873065101	112.16210133869794	110.8774783816765	78.49196123085231	114.7398851936121	111.43048807323035	93.09978716594247	44.68564227986801	99.72138269824318	95.36981953505813	110.68158703048563	49.02189840513022	116.22974885793997	109.80699959641352	80.67016976984031	71.93734313216417	102.7469708483867	100.51814250085255	112.90284989479748	67.53238237878341	99.22608361834392	96.66747948324604	96.97086230044731	59.59942957478133	99.1444757649573	94.48611032422244	74.79344979721353	40.5455500623782	88.64638809479042	84.26470556160318	62.84907939099717	62.22393862409018	64.83231565564427	65.90011626275803
